CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ESTABLISHMENT,TELEFONO_PRIMERO,TELEFONO_SEGUNDO,POR_MADUREZ
16-01-0138-46,16-031,ALTA_VERAPAZ,COBAN,COLEGIO COBAN,KM.2_SALIDA_A_SAN_JUAN_CHAMELCO_ZONA_8,MERCEDES_JOSEFINA_TORRES_GALVEZ,GUSTAVO_ADOLFO_SIERRA_POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA_VERAPAZ,COLEGIO_COBAN,77945104,,False
16-01-0139-46,16-031,ALTA_VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM_209.5_ENTRADA_A_LA_CIUDAD,MERCEDES_JOSEFINA_TORRES_GALVEZ,GILMA_DOLORES_GUAY_PAZ_DE_LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA_VERAPAZ,COLEGIO_PARTICULAR_MIXTO_VERAPAZ,77367402,,False
16-01-0140-46,16-031,ALTA_VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A._AV._11-109_ZONA_6,MERCEDES_JOSEFINA_TORRES_GALVEZ,VIRGINIA_SOLANO_SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA_VERAPAZ,COLEGIO_LA_INMACULADA,78232301,,False
16-01-0141-46,16-005,ALTA_VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A_CALLE_11-10_ZONA_2,RUDY_ADOLFO_TOT_OCH,HECTOR_ROLANDO_CHUN_POOU,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA_VERAPAZ,ESCUELA_NACIONAL_DE_CIENCIAS_COMERCIALES,79514215,,False
16-01-0142-46,16-005,ALTA_VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',3A_AV.6-23_ZONA_11,RUDY_ADOLFO_TOT_OCH,VICTOR_HUGO_DOM͎GUEZ_REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA_VERAPAZ,INSTITUTO_NORMAL_MIXTO_DEL_NORTE_EMILIO_ROSALES_PONCE,79521468,,False
16-01-0143-46,16-031,ALTA_VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A._CALLE_1-9_ZONA_3,MERCEDES_JOSEFINA_TORRES_GALVEZ,HECTOR_WALDEMAR_TOT_COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,ALTA_VERAPAZ,COLEGIO_PARTICULAR_MIXTO_IMPERIAL,57101061,,False
16-01-0145-46,16-006,ALTA_VERAPAZ,COBAN,INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,3_AV._5-28_ZONA_4,EFRAIN_CAAL_CUC,LUIS_FERNANDO_SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA_VERAPAZ,INSTITUTO_DE_TURSMO_Y_AVIACON_DEL_NORTE_I.T.A.N,54641454,,False
16-01-0147-46,16-031,ALTA_VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A._CALLE_11-09_ZONA_6_COBAN,MERCEDES_JOSEFINA_TORRES_GALVEZ,ROSA_MARIA_ZAMORA_GONZLEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA_VERAPAZ,COLEGIO_LA_INMACULADA,49532425,,False
16-01-0150-46,16-006,ALTA_VERAPAZ,COBAN,INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-,3A._AVAENIDA_1-23_ZONA_4,EFRAIN_CAAL_CUC,GUILLERMO_ESTUARDO_VASQUEZ_MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN_DE_SEMANA,ALTA_VERAPAZ,INSTITUTO_INTERCULTRUAL_ALTAVERAPACENCESE_IIAV,,,False
16-01-0155-46,16-031,ALTA_VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11_AV._5-17_ZONA_4,MERCEDES_JOSEFINA_TORRES_GALVEZ,HECTOR_ARMANDO_TEYUL_CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,ALTA_VERAPAZ,LICEO_MODERNO_LATINO,79522555,,False
